"","Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked","IsChild","Is_Married"
"1",0,"3","male",22,1,0,7.25,"S","no","cant_say"
"2",1,"1","female",38,1,0,71.2833,"C","no","married"
"3",1,"3","female",26,0,0,7.925,"S","no","unmarried"
"4",1,"1","female",35,1,0,53.1,"S","no","married"
"5",0,"3","male",35,0,0,8.05,"S","no","cant_say"
"6",0,"3","male",32.8644278606965,0,0,8.4583,"Q","no","cant_say"
"7",0,"1","male",54,0,0,51.8625,"S","no","cant_say"
"8",0,"3","male",2,3,1,21.075,"S","yes","unmarried"
"9",1,"3","female",27,0,2,11.1333,"S","no","married"
"10",1,"2","female",14,1,0,30.0708,"C","no","married"
"11",1,"3","female",4,1,1,16.7,"S","no","unmarried"
"12",1,"1","female",58,0,0,26.55,"S","no","unmarried"
"13",0,"3","male",20,0,0,8.05,"S","no","cant_say"
"14",0,"3","male",39,1,5,31.275,"S","no","cant_say"
"15",0,"3","female",14,0,0,7.8542,"S","no","unmarried"
"16",1,"2","female",55,0,0,16,"S","no","married"
"17",0,"3","male",2,4,1,29.125,"Q","yes","unmarried"
"18",1,"2","male",32.8644278606965,0,0,13,"S","no","cant_say"
"19",0,"3","female",31,1,0,18,"S","no","married"
"20",1,"3","female",27.4217391304348,0,0,7.225,"C","no","married"
"21",0,"2","male",35,0,0,26,"S","no","cant_say"
"22",1,"2","male",34,0,0,13,"S","no","cant_say"
"23",1,"3","female",15,0,0,8.0292,"Q","no","unmarried"
"24",1,"1","male",28,0,0,35.5,"S","no","cant_say"
"25",0,"3","female",8,3,1,21.075,"S","no","unmarried"
"26",1,"3","female",38,1,5,31.3875,"S","no","married"
"27",0,"3","male",32.8644278606965,0,0,7.225,"C","no","cant_say"
"29",1,"3","female",27.4217391304348,0,0,7.8792,"Q","no","unmarried"
"30",0,"3","male",32.8644278606965,0,0,7.8958,"S","no","cant_say"
"31",0,"1","male",40,0,0,27.7208,"C","no","cant_say"
"33",1,"3","female",27.4217391304348,0,0,7.75,"Q","no","unmarried"
"34",0,"2","male",66,0,0,10.5,"S","no","cant_say"
"35",0,"1","male",28,1,0,82.1708,"C","no","cant_say"
"36",0,"1","male",42,1,0,52,"S","no","cant_say"
"37",1,"3","male",32.8644278606965,0,0,7.2292,"C","no","cant_say"
"38",0,"3","male",21,0,0,8.05,"S","no","cant_say"
"39",0,"3","female",18,2,0,18,"S","no","unmarried"
"40",1,"3","female",14,1,0,11.2417,"C","no","unmarried"
"41",0,"3","female",40,1,0,9.475,"S","no","married"
"42",0,"2","female",27,1,0,21,"S","no","married"
"43",0,"3","male",32.8644278606965,0,0,7.8958,"C","no","cant_say"
"44",1,"2","female",3,1,2,41.5792,"C","no","unmarried"
"45",1,"3","female",19,0,0,7.8792,"Q","no","unmarried"
"46",0,"3","male",32.8644278606965,0,0,8.05,"S","no","cant_say"
"47",0,"3","male",32.8644278606965,1,0,15.5,"Q","no","cant_say"
"48",1,"3","female",27.4217391304348,0,0,7.75,"Q","no","unmarried"
"49",0,"3","male",32.8644278606965,2,0,21.6792,"C","no","cant_say"
"50",0,"3","female",18,1,0,17.8,"S","no","married"
"51",0,"3","male",7,4,1,39.6875,"S","yes","unmarried"
"52",0,"3","male",21,0,0,7.8,"S","no","cant_say"
"53",1,"1","female",49,1,0,76.7292,"C","no","married"
"54",1,"2","female",29,1,0,26,"S","no","married"
"55",0,"1","male",65,0,1,61.9792,"C","no","cant_say"
"56",1,"1","male",32.8644278606965,0,0,35.5,"S","no","cant_say"
"57",1,"2","female",21,0,0,10.5,"S","no","unmarried"
"58",0,"3","male",28.5,0,0,7.2292,"C","no","cant_say"
"59",1,"2","female",5,1,2,27.75,"S","no","unmarried"
"60",0,"3","male",11,5,2,46.9,"S","yes","unmarried"
"61",0,"3","male",22,0,0,7.2292,"C","no","cant_say"
"62",1,"1","female",38,0,0,80,"S","no","unmarried"
"63",0,"1","male",45,1,0,83.475,"S","no","cant_say"
"64",0,"3","male",4,3,2,27.9,"S","yes","unmarried"
"65",0,"1","male",32.8644278606965,0,0,27.7208,"C","no","cant_say"
"66",1,"3","male",4.49264705882353,1,1,15.2458,"C","yes","unmarried"
"67",1,"2","female",29,0,0,10.5,"S","no","married"
"68",0,"3","male",19,0,0,8.1583,"S","no","cant_say"
"69",1,"3","female",17,4,2,7.925,"S","no","unmarried"
"70",0,"3","male",26,2,0,8.6625,"S","no","cant_say"
"71",0,"2","male",32,0,0,10.5,"S","no","cant_say"
"72",0,"3","female",16,5,2,46.9,"S","no","unmarried"
"73",0,"2","male",21,0,0,73.5,"S","no","cant_say"
"74",0,"3","male",26,1,0,14.4542,"C","no","cant_say"
"75",1,"3","male",32,0,0,56.4958,"S","no","cant_say"
"76",0,"3","male",25,0,0,7.65,"S","no","cant_say"
"77",0,"3","male",32.8644278606965,0,0,7.8958,"S","no","cant_say"
"78",0,"3","male",32.8644278606965,0,0,8.05,"S","no","cant_say"
"79",1,"2","male",0.83,0,2,29,"S","yes","unmarried"
"80",1,"3","female",30,0,0,12.475,"S","no","unmarried"
"81",0,"3","male",22,0,0,9,"S","no","cant_say"
"82",1,"3","male",29,0,0,9.5,"S","no","cant_say"
"83",1,"3","female",27.4217391304348,0,0,7.7875,"Q","no","unmarried"
"84",0,"1","male",28,0,0,47.1,"S","no","cant_say"
"85",1,"2","female",17,0,0,10.5,"S","no","unmarried"
"86",1,"3","female",33,3,0,15.85,"S","no","married"
"87",0,"3","male",16,1,3,34.375,"S","no","cant_say"
"88",0,"3","male",32.8644278606965,0,0,8.05,"S","no","cant_say"
"90",0,"3","male",24,0,0,8.05,"S","no","cant_say"
"91",0,"3","male",29,0,0,8.05,"S","no","cant_say"
"92",0,"3","male",20,0,0,7.8542,"S","no","cant_say"
"93",0,"1","male",46,1,0,61.175,"S","no","cant_say"
"94",0,"3","male",26,1,2,20.575,"S","no","cant_say"
"95",0,"3","male",59,0,0,7.25,"S","no","cant_say"
"96",0,"3","male",32.8644278606965,0,0,8.05,"S","no","cant_say"
"97",0,"1","male",71,0,0,34.6542,"C","no","cant_say"
"98",1,"1","male",23,0,1,63.3583,"C","no","cant_say"
"99",1,"2","female",34,0,1,23,"S","no","married"
"100",0,"2","male",34,1,0,26,"S","no","cant_say"
"101",0,"3","female",28,0,0,7.8958,"S","no","unmarried"
"102",0,"3","male",32.8644278606965,0,0,7.8958,"S","no","cant_say"
"103",0,"1","male",21,0,1,77.2875,"S","no","cant_say"
"104",0,"3","male",33,0,0,8.6542,"S","no","cant_say"
"105",0,"3","male",37,2,0,7.925,"S","no","cant_say"
"106",0,"3","male",28,0,0,7.8958,"S","no","cant_say"
"107",1,"3","female",21,0,0,7.65,"S","no","unmarried"
"108",1,"3","male",32.8644278606965,0,0,7.775,"S","no","cant_say"
"109",0,"3","male",38,0,0,7.8958,"S","no","cant_say"
"110",1,"3","female",27.4217391304348,1,0,24.15,"Q","no","unmarried"
"111",0,"1","male",47,0,0,52,"S","no","cant_say"
"112",0,"3","female",14.5,1,0,14.4542,"C","no","unmarried"
"113",0,"3","male",22,0,0,8.05,"S","no","cant_say"
"114",0,"3","female",20,1,0,9.825,"S","no","unmarried"
"115",0,"3","female",17,0,0,14.4583,"C","no","unmarried"
"116",0,"3","male",21,0,0,7.925,"S","no","cant_say"
"117",0,"3","male",70.5,0,0,7.75,"Q","no","cant_say"
"118",0,"2","male",29,1,0,21,"S","no","cant_say"
"120",0,"3","female",2,4,2,31.275,"S","no","unmarried"
"121",0,"2","male",21,2,0,73.5,"S","no","cant_say"
"122",0,"3","male",32.8644278606965,0,0,8.05,"S","no","cant_say"
